building,appliance,appliance_phase,main_phase,corr,is_best_corr
building_12,dishwasher,phase_1_dishwasher,phase_1_main,0.00236807728302002,False
building_13,freezer,phase_1_freezer,phase_3_main,-0.0008126189678984671,False
building_13,freezer,phase_1_freezer,phase_2_main,0.027523163340677156,True
building_13,freezer,phase_1_freezer,phase_1_main,-0.0006297645804210451,False
building_13,electric_vehicle,phase_1_electric_vehicle,phase_3_main,-0.0005399157823613084,False
building_13,electric_vehicle,phase_1_electric_vehicle,phase_1_main,-0.00041233728786420196,False
building_13,fridge,phase_1_fridge,phase_3_main,0.005224833464300117,True
building_13,fridge,phase_1_fridge,phase_2_main,4.1218234284198376e-05,False
building_13,fridge,phase_1_fridge,phase_1_main,-0.00017132673413477036,False
building_13,electric_vehicle,phase_1_electric_vehicle,phase_2_main,-6.773667238420666e-06,True
building_14,washing_machine,phase_1_washing_machine,phase_2_main,-0.0008321113442774697,False
building_14,washing_machine,phase_1_washing_machine,phase_1_main,0.28484627814241165,True
building_14,fridge,phase_1_fridge,phase_1_main,2.129449447193218e-05,False
building_14,freezer,phase_1_freezer,phase_3_main,0.002227405400454633,False
building_14,freezer,phase_1_freezer,phase_2_main,0.2029894421547589,True
building_14,freezer,phase_1_freezer,phase_1_main,0.003545269321288232,False
building_14,tumble_dryer,phase_1_tumble_dryer,phase_3_main,-0.0004506402812416951,False
building_14,tumble_dryer,phase_1_tumble_dryer,phase_2_main,-0.0008868688600206869,False
building_14,tumble_dryer,phase_1_tumble_dryer,phase_1_main,0.11573015803547117,True
building_14,washing_machine,phase_1_washing_machine,phase_3_main,-0.00016075921759053222,False
building_14,fridge,phase_1_fridge,phase_3_main,0.005113826766964921,True
building_14,fridge,phase_1_fridge,phase_2_main,0.0001747255379041333,False
building_15,freezer,phase_1_freezer,phase_3_main,0.17460307839984157,True
building_15,tumble_dryer,phase_1_tumble_dryer,phase_1_main,0.1060559018901754,True
building_15,washing_machine,phase_1_washing_machine,phase_1_main,0.18781570611122297,True
building_15,washing_machine,phase_1_washing_machine,phase_2_main,0.00047525287241582714,False
building_15,dishwasher,phase_1_dishwasher,phase_1_main,-0.006819175604710127,False
building_15,dishwasher,phase_1_dishwasher,phase_2_main,0.0015601755299861873,False
building_15,washing_machine,phase_1_washing_machine,phase_3_main,-0.0004415922895625292,False
building_15,freezer,phase_1_freezer,phase_1_main,0.007117353327999531,False
building_15,freezer,phase_1_freezer,phase_2_main,0.013224591586866816,False
building_15,tumble_dryer,phase_1_tumble_dryer,phase_3_main,0.00039590045760746464,False
building_15,tumble_dryer,phase_1_tumble_dryer,phase_2_main,-0.0019162481328290897,False
building_15,dishwasher,phase_1_dishwasher,phase_3_main,0.34800346244252756,True
building_16,freezer,phase_1_freezer,phase_1_main,-0.015091009844639111,False
building_16,fridge,phase_1_fridge,phase_3_main,0.22772732008169705,True
building_16,fridge,phase_1_fridge,phase_2_main,0.001400117145308875,False
building_16,fridge,phase_1_fridge,phase_1_main,0.005379816318603327,False
building_16,freezer,phase_1_freezer,phase_3_main,0.19416954305592604,True
building_16,tumble_dryer,phase_1_tumble_dryer,phase_3_main,0.005696904214451339,False
building_16,washing_machine,phase_1_washing_machine,phase_1_main,0.0017739941103155827,False
building_16,freezer,phase_1_freezer,phase_2_main,-0.018106859085492366,False
building_16,washing_machine,phase_1_washing_machine,phase_2_main,0.17508675748597252,True
building_16,washing_machine,phase_1_washing_machine,phase_3_main,0.0016998889225454757,False
building_16,tumble_dryer,phase_1_tumble_dryer,phase_1_main,0.45273445754734293,True
building_16,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.00417197159287864,False
building_17,tumble_dryer,phase_1_tumble_dryer,phase_3_main,0.002779568847890373,False
building_17,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.006035307729363584,True
building_17,freezer,phase_1_freezer,phase_1_main,0.12096212477021559,True
building_17,freezer,phase_1_freezer,phase_2_main,-0.005058473054081683,False
building_17,freezer,phase_1_freezer,phase_3_main,-0.006248096614479356,False
building_17,tumble_dryer,phase_1_tumble_dryer,phase_1_main,-0.00010143496991678701,False
building_18,fridge,phase_1_fridge,phase_1_main,0.00042602563437163537,False
building_18,fridge,phase_1_fridge,phase_2_main,0.030566763410017395,True
building_18,fridge,phase_1_fridge,phase_3_main,0.0013384774927528353,False
building_18,washing_machine,phase_1_washing_machine,phase_1_main,-2.8265548255154144e-05,False
building_18,freezer,phase_1_freezer,phase_2_main,0.0006185705690874509,False
building_18,washing_machine,phase_1_washing_machine,phase_3_main,0.29375900964643886,True
building_18,freezer,phase_1_freezer,phase_1_main,-0.0004918947065568551,False
building_18,tumble_dryer,phase_1_tumble_dryer,phase_3_main,-2.4434360270912722e-05,False
building_18,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.30286209240089634,True
